no,area,suicide,satisfaction,loneliness,job_value,society_safety,self_control,korean_pride,help_weak,family_talk,family_belief,personal_economy,health,sex,age
1,서울,2,4,2,5,4,3,3,2,2,3,3,4,여자,60~69세
2,서울,2,4,2,3,5,5,3,2,3,3,6,3,여자,60~69세
3,서울,2,4,2,4,6,3,2,2,2,2,5,4,남자,50대
4,서울,1,3,2,3,4,2,3,3,1,2,5,4,여자,50대
5,서울,1,6,1,7,6,7,3,2,3,4,6,4,남자,40대
6,서울,2,4,2,6,7,5,3,3,3,2,6,4,여자,40대
7,서울,3,5,3,6,5,5,2,3,3,2,5,4,여자,19~29세
8,서울,3,5,3,5,6,4,2,2,3,2,4,4,남자,60~69세
9,서울,1,4,1,4,5,3,2,2,3,4,3,4,여자,60~69세
10,서울,2,4,2,3,5,4,2,2,1,3,5,4,남자,40대
11,서울,2,3,1,5,5,5,2,2,2,3,5,4,여자,40대
12,서울,3,3,2,3,6,4,2,3,2,3,6,4,여자,50대
13,서울,3,3,3,3,5,3,1,2,2,2,4,5,남자,19~29세
14,서울,3,5,2,5,3,2,2,2,2,2,5,4,남자,60~69세
15,서울,1,3,2,3,4,4,2,3,2,2,4,5,여자,60~69세
16,서울,2,4,2,4,5,5,2,3,2,2,5,3,남자,60~69세
17,서울,2,3,2,3,4,3,3,2,2,3,5,4,여자,60~69세
18,서울,2,5,2,5,5,4,2,2,2,3,5,4,남자,50대
19,서울,3,4,2,4,5,6,3,2,2,2,6,4,여자,50대
20,서울,2,4,2,3,6,3,2,3,2,3,6,5,여자,19~29세
21,서울,1,6,1,7,5,6,3,3,4,4,6,4,남자,60~69세
22,서울,1,6,1,6,6,6,3,3,3,3,5,4,여자,60~69세
23,서울,1,7,1,7,5,7,2,3,3,4,7,3,남자,30대
24,서울,1,4,1,4,6,4,2,2,2,2,6,4,남자,40대
25,서울,2,5,3,4,6,5,3,2,2,3,6,4,여자,40대
26,서울,1,7,1,7,5,7,3,3,3,3,6,4,남자,30대
27,서울,1,7,1,8,5,7,3,3,3,4,6,4,여자,30대
28,서울,2,4,2,4,6,7,3,2,2,3,3,4,여자,30대
29,서울,2,4,2,3,5,4,3,3,3,3,3,3,여자,30대
30,서울,3,4,2,4,5,4,2,2,2,2,6,4,남자,40대
31,서울,2,5,2,4,4,5,2,2,3,3,3,4,여자,40대
32,서울,2,4,2,4,7,5,3,3,3,3,2,4,남자,19~29세
33,서울,2,7,2,7,5,4,3,3,2,2,6,4,남자,40대
34,서울,2,4,2,4,8,5,3,3,2,3,8,4,여자,40대
35,서울,1,7,2,7,4,7,2,2,3,4,7,4,남자,50대
36,서울,2,5,2,4,4,4,2,2,2,2,7,4,여자,60~69세
37,서울,2,5,3,5,5,4,2,2,2,2,6,4,여자,30대
38,서울,1,3,2,3,4,5,2,3,2,3,5,4,남자,30대
39,서울,1,6,2,3,4,3,2,2,2,3,6,4,여자,30대
40,서울,1,4,2,4,4,5,2,2,2,3,5,4,여자,60~69세
41,서울,1,8,2,8,7,6,3,3,4,4,7,3,남자,50대
42,서울,3,7,3,7,7,7,3,3,3,4,7,3,여자,50대
43,서울,1,8,3,7,6,7,3,3,4,4,6,4,남자,19~29세
44,서울,1,7,1,8,6,7,3,3,4,4,7,4,남자,30대
45,서울,1,8,1,8,7,7,3,3,4,4,6,4,여자,30대
46,서울,1,8,1,8,7,6,3,3,4,4,7,4,남자,50대
47,서울,1,7,3,8,7,7,3,3,4,4,7,4,여자,50대
48,서울,1,7,1,8,7,7,3,3,4,4,7,4,남자,19~29세
49,서울,1,8,1,8,6,7,3,2,3,3,5,3,남자,60~69세
50,서울,1,7,1,7,7,8,3,3,4,4,5,3,여자,60~69세
51,서울,1,8,1,8,7,8,3,3,4,4,6,4,남자,30대
52,서울,3,7,3,7,7,8,3,3,3,3,6,3,남자,60~69세
53,서울,2,7,1,7,7,8,3,3,3,4,6,3,여자,50대
54,서울,2,8,3,8,8,8,3,3,4,3,7,4,남자,40대
55,서울,1,7,1,8,7,7,3,3,4,4,7,4,여자,30대
56,서울,1,7,1,7,7,7,3,2,4,4,6,4,남자,30대
57,서울,2,7,1,8,7,7,3,3,3,4,5,4,여자,30대
58,서울,1,7,1,8,8,8,3,2,4,4,5,4,여자,30대
59,서울,1,7,1,7,6,7,3,3,4,4,5,4,남자,30대
60,서울,1,7,1,7,7,7,3,3,4,3,6,4,여자,30대
61,서울,2,8,2,9,6,6,3,4,4,4,7,5,남자,60~69세
62,서울,1,4,1,7,6,6,3,4,3,3,6,5,남자,50대
63,서울,1,8,2,8,9,7,3,4,3,4,5,5,여자,50대
64,서울,2,9,2,9,7,7,3,4,3,4,5,4,여자,19~29세
65,서울,1,8,1,8,8,7,3,4,2,3,5,4,남자,30대
66,서울,1,9,1,9,8,7,3,4,3,3,7,5,여자,30대
67,서울,1,7,1,7,6,5,3,4,4,3,5,5,남자,40대
68,서울,1,7,1,7,7,6,3,4,3,3,6,5,여자,40대
69,서울,1,7,1,7,8,6,3,4,4,4,7,5,여자,50대
70,서울,1,6,2,6,7,6,3,3,3,4,4,4,남자,60~69세
71,서울,1,7,1,5,6,6,3,4,3,4,5,5,여자,50대
72,서울,1,8,2,8,7,6,3,3,3,4,6,5,남자,50대
73,서울,1,9,2,9,8,8,3,4,3,4,5,5,여자,50대
74,서울,1,9,1,9,6,6,4,3,3,4,7,5,여자,19~29세
75,서울,1,8,2,8,8,6,3,4,3,4,6,5,여자,19~29세
76,서울,2,8,2,7,7,5,3,4,3,4,5,4,남자,30대
77,서울,1,8,1,8,7,8,4,4,3,4,7,4,남자,40대
78,서울,1,8,1,8,8,7,3,4,3,4,6,5,여자,40대
79,서울,1,8,2,8,6,6,4,3,2,3,5,5,남자,60~69세
80,서울,1,8,2,8,8,6,3,4,3,3,3,5,여자,50대
81,서울,1,5,1,5,6,5,3,3,3,3,5,3,남자,30대
82,서울,1,6,1,6,6,5,4,3,3,4,4,3,여자,50대
83,서울,1,5,1,6,7,5,3,3,3,3,3,3,여자,19~29세
84,서울,1,7,1,6,7,7,4,3,3,3,6,3,남자,40대
85,서울,1,7,1,6,3,4,3,2,3,3,3,3,남자,50대
86,서울,1,6,1,6,3,6,3,3,3,3,7,3,남자,50대
87,서울,1,4,1,5,5,4,3,3,3,3,6,3,여자,50대
88,서울,1,5,1,5,3,5,3,3,3,3,3,3,여자,50대
89,서울,2,6,2,6,7,5,3,3,3,3,4,3,남자,50대
90,서울,1,6,1,5,4,4,3,3,3,3,6,3,남자,60~69세
91,서울,1,6,1,5,6,5,3,3,3,3,5,3,남자,30대
92,서울,1,5,1,6,2,5,3,3,3,3,4,3,남자,40대
93,서울,1,7,1,7,3,7,3,3,3,3,6,3,남자,40대
94,서울,1,9,2,7,8,7,3,3,3,3,6,3,여자,40대
95,서울,1,8,1,7,7,7,3,3,3,3,5,4,남자,50대
96,서울,1,5,1,6,6,5,3,3,3,3,5,3,여자,40대
97,서울,2,6,2,6,6,8,3,4,3,3,3,4,여자,30대
98,서울,2,6,3,6,4,6,3,3,3,2,4,5,여자,19~29세
99,서울,1,7,1,7,7,6,3,3,3,4,3,5,남자,40대
100,서울,1,6,1,5,3,7,3,3,3,3,4,5,여자,30대
101,서울,1,4,1,4,5,7,3,3,3,3,5,5,남자,30대
102,서울,1,6,1,6,6,7,3,4,3,4,8,5,여자,19~29세
103,서울,1,6,1,6,5,6,3,3,3,4,5,5,여자,60~69세
104,서울,2,5,1,5,6,7,3,3,3,4,5,5,남자,60~69세
105,서울,2,8,1,7,5,7,3,4,3,3,6,5,여자,60~69세
106,서울,2,7,3,7,6,4,3,4,3,3,6,5,남자,30대
107,서울,1,7,1,6,5,5,3,4,3,3,4,5,여자,19~29세
108,서울,2,5,3,5,5,5,3,3,2,3,5,5,남자,40대
109,서울,1,7,2,7,5,7,3,4,3,4,4,5,남자,40대
110,서울,1,6,2,6,6,9,3,4,3,3,3,5,여자,40대
111,서울,1,6,2,7,7,8,4,4,3,3,4,5,여자,60~69세
112,서울,2,7,2,7,6,6,3,3,3,4,5,5,남자,30대
113,서울,1,5,1,6,5,8,3,3,3,3,4,5,여자,19~29세
114,서울,2,5,1,5,6,4,3,3,3,3,2,4,여자,30대
